ID	name	bufftype	repeat	count	IsWeapon	triggerType	checkType	checkId	NoFinalPer	multiple	timeIdx	nameFlag	res	locator	icon	death	desc	toIntType	save
int	LocalStr	string	int	int	bool	int	int	int	bool	int	int	int	string	string	string	int	LocalStr	int	int
qwe																			
101		calcu_recovery_hp	1	0		0	0	0		0	0	0				0		0	0
102		calcu_steal_hp	1	0		0	0	0		0	0	0				0		0	0
103		non_move	1	0		0	0	0		0	0	0				0		0	0
104		non_dir	1	0		0	0	0		0	0	0				0		0	0
105		mutex_skill	1	0		0	0	0		0	0	0				0		0	0
106		non_control	1	0		0	0	0		0	0	0				0		0	0
107		invincible	1	0		0	0	0		0	0	0				0		0	0
108		lock_hp_1	1	0		0	0	0		0	0	0				0		0	0
200	STAT_PERCENT_DAMAGE	percent_damage	0	999		0	0	0		0	0	0			percent_damage	0		3	0
20001	STAT_PERCENT_DAMAGE	percent_damage	0	999		0	0	0		0	0	0			percent_damage	0		3	0
20002	STAT_PERCENT_DAMAGE	percent_damage	3	999		0	0	0		0	0	0			percent_damage	0		3	0
20003	STAT_PERCENT_DAMAGE	percent_damage	3	999		0	0	0		0	0	0			percent_damage	0		3	0
20004	STAT_PERCENT_DAMAGE	percent_damage	3	999		0	0	0		0	0	0			percent_damage	0		3	0
20005	STAT_PERCENT_DAMAGE	percent_damage	3	999		0	0	0		0	0	0			percent_damage	0		3	0
20006	STAT_PERCENT_DAMAGE	percent_damage	0	999		0	0	0		0	0	0			percent_damage	0		3	1
201	STAT_MAX_HP	max_hp_add	0	999		0	0	0		0	0	0			max_hp	0		3	0
20101	STAT_MAX_HP	max_hp_add	0	999		0	0	0		0	0	0			max_hp	0		3	0
202	STAT_MAX_HP	max_hp_per	0	999		0	0	0		0	0	0				0		3	0
203	STAT_SPEED	speed_add	0	999		0	0	0		0	0	0				0		3	0
204	STAT_SPEED	speed_per	0	999		0	0	0		0	0	0			speed	0		3	0
20401	STAT_SPEED	speed_per	3	999		0	0	0		0	0	0			speed	0		3	0
20402	STAT_SPEED	speed_per	3	999		0	0	0		0	0	0			speed	0		3	0
20403	STAT_SPEED	speed_per	3	999		0	0	0		0	0	0			speed	0		3	0
20404	STAT_SPEED	speed_per	3	999		0	0	0		0	0	0			speed	0		3	0
205	STAT_HP_REGENERATION	recovery_hp_1	0	999		0	0	0		0	0	0			hp_regeneration	0		3	0
20501	STAT_HP_REGENERATION	recovery_hp_1	0	999		0	0	0		0	0	0			hp_regeneration	0		3	0
206	STAT_LIFESTEAL	life_steal	0	999		0	0	0		0	0	0			lifesteal	0		3	0
207	STAT_DODGE	dodge	0	999		0	0	0		0	0	0			dodge	0		3	0
208	STAT_ARMOR	armor_add	0	999		0	0	0		0	0	0			armor	0		3	0
20801	STAT_ARMOR	armor_add	0	999		0	0	0		0	0	0			armor	0		3	0
20802	STAT_ARMOR	armor_add	3	999		0	0	0		0	0	0			armor	0		3	0
209	STAT_DAMAGE	percent_damage	0	999		0	0	0		0	0	0			percent_damage	0		3	0
210	STAT_MELEE_DAMAGE	melee_damage	0	999		0	0	0		0	0	0			melee_damage	0		3	0
211	STAT_ELEMENTAL_DAMAGE	elemental_damage	0	999		0	0	0		0	0	0			elemental_damage	0		3	0
212	STAT_RANGED_DAMAGE	ranged_damage	0	999		0	0	0		0	0	0			ranged_damage	0		3	0
213	STAT_CRIT_CHANCE	crit_per	0	999		0	0	0		0	0	0			crit_chance	0		3	0
214	STAT_CRIT_DAMAGE	crit_add	0	999		0	0	0		0	0	0				0		3	0
