ID	name	desc	type	icon	tier	skills	buffs	unique	isClose	res	Price	RecyclePrice	size	scale	birthEff	deathEff	ai	mass	pushAtten	layer	Unlock	DrawingRewards	AdventureDiff	AdventureHero
int	LocalStr	LocalStr	int	string	int	int[]	BuffExcelList	bool	bool	string	int	int	float	float	string	string	int	float	float	int	int	DropArray	int	int[]
ID																								
10000	CHARACTER_WELL_ROUNDED		1	well_rounded_icon	1		201,5#204,5#219,8#2102,6	1			0	0	0.3	1			0	-1	0.7	1	-1	60001,5	10001	
10001	CHARACTER_BRAWLER		1	brawler_icon	1		2073,50,215,5#2060,1,20041#207,15#216,-50#212,-50#2102,6	1			0	0	0.3	1			0	-1	0.7	1	-1	60001,5	0	
10002	CHARACTER_CRAZY		1	crazy_icon	1		2057,100,216,6#215,25#2060,1,20111#207,-30#218,-10#212,-10#2102,6	1			0	0	0.3	1			0	-1	0.7	1	-1	60001,5	0	
10003	CHARACTER_RANGER		1	ranger_icon	1		216,50#2060,1,26091#2059,212,50#2071#2058,201,-25#2102,6	1			0	0	0.3	1			0	-1	0.7	1	-1	60001,5	0	
10004	CHARACTER_MAGE		1	mage_icon	1		2059,211,33#2060,1,30127#2060,1,30120#2058,212,-100#2058,210,-100#2058,218,-100#2102,6	1			0	0	0.3	1			0	-1	0.7	1	-1	60001,5	10002	
10005	CHARACTER_CHUNKY		1	chunky_icon	1		2059,201,25#2021,1,209,3,201#2004,3#206,-100#2058,205,-50#2058,207,-50#2058,204,-100#2102,6	1			0	0	0.3	1			0	-1	0.7	1	17	60001,5	0	
10006	CHARACTER_OLD		1	old_icon	1		2001,-25#219,10#2111,2#2014,-10#204,-10#2102,6	1			0	0	0.3	1			0	-1	0.7	1	7	60001,5	0	
10007	CHARACTER_LUCKY		1	lucky_icon	1		217,100#2059,217,25#2006,3020,75,0,217,15#215,-60#2010,-50#2102,6	1			0	0	0.3	1			0	-1	0.7	1	12	60001,5	0	
10008	CHARACTER_MUTANT		1	mutant_icon	1		2010,200#2016,50#2102,6	1			0	0	0.3	1			0	-1	0.7	1	8	60001,5	0	
10009	CHARACTER_GENERALIST		1	generalist_icon	1		2021,2,210,1,212#20211,1,212,2,210#2109,3#2110,3#2102,6	1			0	0	0.3	1			0	-1	0.7	1	13	60001,5	0	
10010	CHARACTER_LOUD		1	loud_icon	1		200,30#2014,50#2024,100,10010219,-3#2102,6	1			0	0	0.3	1			0	-1	0.7	1	9	60001,5	0	
10011	CHARACTER_MULTITASKER		1	multitasker_icon	1		200,20#2102,12#2103,2083,-5	1			0	0	0.3	1			0	-1	0.7	1	14	60001,5	0	
10012	CHARACTER_WILDLING		1	wildling_icon	1		2057,30,206,2#2060,1,20221#2108,2#2102,6	1			0	0	0.3	1			0	-1	0.7	1	10	60001,5	0	
10013	CHARACTER_PACIFIST		1	pacifist_icon	1		2101,65#2060,1,30086#200,-100#218,-100#2102,6	1			0	0	0.3	1			0	-1	0.7	1	15	60001,5	0	
10014	CHARACTER_GLADIATOR		1	gladiator_icon	1		2023,215,20#210,5#2072#300,-40#217,-30#2102,6	1			0	0	0.3	1			0	-1	0.7	1	11	60001,5	0	
10015	CHARACTER_SAVER		1	saver_icon	1		219,15#2090,200,1,222,25#2060,1,30103#2016,50#2102,6	1			0	0	0.3	1			0	-1	0.7	1	16	60001,5	0	
10016	CHARACTER_SICK		1	sick_icon	1		201,12#206,25#2012,-1#205,-100#2102,6	1			0	0	0.3	1			0	-1	0.7	1	18	60001,5	0	
