ID	name	desc	type	icon	tier	buffId	value
int	LocalStr	LocalStr	int	string	int	int	int
ID							
1001	UPGRADE_ATTACK_SPEED	STAT_ATTACK_SPEED	0	attack_speed2	1	215	5
1002	UPGRADE_ATTACK_SPEED	STAT_ATTACK_SPEED	0	attack_speed2	2	215	10
1003	UPGRADE_ATTACK_SPEED	STAT_ATTACK_SPEED	0	attack_speed2	3	215	15
1004	UPGRADE_ATTACK_SPEED	STAT_ATTACK_SPEED	0	attack_speed2	4	215	20
1011	UPGRADE_LUCK	STAT_LUCK	1	consumable_drop_chance	1	217	5
1012	UPGRADE_LUCK	STAT_LUCK	1	consumable_drop_chance	2	217	10
1013	UPGRADE_LUCK	STAT_LUCK	1	consumable_drop_chance	3	217	15
1014	UPGRADE_LUCK	STAT_LUCK	1	consumable_drop_chance	4	217	20
1021	UPGRADE_CRIT_CHANCE	STAT_CRIT_CHANCE	2	crit_chance_u	1	213	3
1022	UPGRADE_CRIT_CHANCE	STAT_CRIT_CHANCE	2	crit_chance_u	2	213	5
1023	UPGRADE_CRIT_CHANCE	STAT_CRIT_CHANCE	2	crit_chance_u	3	213	7
1024	UPGRADE_CRIT_CHANCE	STAT_CRIT_CHANCE	2	crit_chance_u	4	213	9
1031	UPGRADE_DODGE	STAT_DODGE	3	dodge_u	1	207	3
1032	UPGRADE_DODGE	STAT_DODGE	3	dodge_u	2	207	6
1033	UPGRADE_DODGE	STAT_DODGE	3	dodge_u	3	207	9
1034	UPGRADE_DODGE	STAT_DODGE	3	dodge_u	4	207	12
1041	UPGRADE_ELEMENTAL_DAMAGE	STAT_ELEMENTAL_DAMAGE	4	elemental_dmg	1	211	1
1042	UPGRADE_ELEMENTAL_DAMAGE	STAT_ELEMENTAL_DAMAGE	4	elemental_dmg	2	211	2
1043	UPGRADE_ELEMENTAL_DAMAGE	STAT_ELEMENTAL_DAMAGE	4	elemental_dmg	3	211	3
1044	UPGRADE_ELEMENTAL_DAMAGE	STAT_ELEMENTAL_DAMAGE	4	elemental_dmg	4	211	4
1051	UPGRADE_ENGINEERING	STAT_ENGINEERING	5	engineering_u	1	218	2
1052	UPGRADE_ENGINEERING	STAT_ENGINEERING	5	engineering_u	2	218	3
1053	UPGRADE_ENGINEERING	STAT_ENGINEERING	5	engineering_u	3	218	4
