ID	name	desc	type	icon	tier	skills	buffs	unique	isClose	res	Price	RecyclePrice	size	scale	birthEff	deathEff	ai	mass	pushAtten	layer	Unlock	DrawingRewards	AdventureDiff	AdventureHero
int	LocalStr	LocalStr	int	string	int	int[]	BuffExcelList	bool	bool	string	int	int	float	float	string	string	int	float	float	int	int	DropArray	int	int[]
ID																								
20001	WEAPON_CACTI_CLUB		2	cactus_mace_icon	1	1027	2085,3,1,0,212,50	0			20	0	0.2				0			0	0	60001,5	0	
20002	WEAPON_CACTI_CLUB		2	cactus_mace_icon	2	1028	2085,4,1,0,212,50	0			39	0	0.2				0			0	0	60001,5	0	
20003	WEAPON_CACTI_CLUB		2	cactus_mace_icon	3	1029	2085,5,1,0,212,50	0			74	0	0.2				0			0	0	60001,5	0	
20004	WEAPON_CACTI_CLUB		2	cactus_mace_icon	4	1030	2085,6,1,0,212,50	0			149	0	0.2				0			0	0	60001,5	0	
20011	WEAPON_CHOPPER		2	chopper_icon	1	1033	20041,1	0			15	0	0.2				0			0	41	60001,5	0	
20012	WEAPON_CHOPPER		2	chopper_icon	2	1033	20041,1	0			31	0	0.2				0			0	41	60001,5	0	
20013	WEAPON_CHOPPER		2	chopper_icon	3	1033	20041,1	0			61	0	0.2				0			0	41	60001,5	0	
20014	WEAPON_CHOPPER		2	chopper_icon	4	1033	20041,2	0			122	0	0.2				0			0	41	60001,5	0	
20022	WEAPON_CIRCULAR_SAW		2	circular_saw_icon	2	1019		0			46	0	0.2				0			0	0	60001,5	0	
20023	WEAPON_CIRCULAR_SAW		2	circular_saw_icon	3	1019		0			86	0	0.2				0			0	0	60001,5	0	
20024	WEAPON_CIRCULAR_SAW		2	circular_saw_icon	4	1019		0			173	0	0.2				0			0	0	60001,5	0	
20031	WEAPON_DAGGER		2	dagger_icon	1	1008	2062,50	0			12	0	0.2				0			0	0	60001,5	0	
20032	WEAPON_DAGGER		2	dagger_icon	2	1008	2062,56	0			26	0	0.2				0			0	0	60001,5	0	
20033	WEAPON_DAGGER		2	dagger_icon	3	1008	2062,62	0			52	0	0.2				0			0	0	60001,5	0	
20034	WEAPON_DAGGER		2	dagger_icon	4	1008	2062,80	0			105	0	0.2				0			0	0	60001,5	0	
20041	WEAPON_FIST		2	fist_icon	1	1003		0			10	0	0.2				0			0	0	60001,5	0	
20042	WEAPON_FIST		2	fist_icon	2	1003		0			22	0	0.2				0			0	0	60001,5	0	
20043	WEAPON_FIST		2	fist_icon	3	1003		0			45	0	0.2				0			0	0	60001,5	0	
20044	WEAPON_FIST		2	fist_icon	4	1003		0			91	0	0.2				0			0	0	60001,5	0	
20052	WEAPON_FLAMING_BRASS_KNUCKLES		2	flaming_knuckles_icon	2	1020	1005,100,2067,8,5,211,100	0		Weaponknuckles	46	0	0.2				0			0	0	60001,5	0	
20053	WEAPON_FLAMING_BRASS_KNUCKLES		2	flaming_knuckles_icon	3	1020	1005,100,2067,12,6,211,100	0		Weaponknuckles	86	0	0.2				0			0	0	60001,5	0	
20054	WEAPON_FLAMING_BRASS_KNUCKLES		2	flaming_knuckles_icon	4	1020	1005,100,2067,15,7,211,100	0		Weaponknuckles	173	0	0.2				0			0	0	60001,5	0	
20061	WEAPON_GHOST_AXE		2	ghost_axe_icon	1	1035	2080,1,200,20	0			20	0	0.2				0			0	0	60001,5	0	
20062	WEAPON_GHOST_AXE		2	ghost_axe_icon	2	1035	2080,1,200,18	0			39	0	0.2				0			0	0	60001,5	0	
