ID	name	desc	type	icon	tier	skills	buffs	unique	isClose	res	Price	RecyclePrice	size	scale	birthEff	deathEff	ai	mass	pushAtten	layer	Unlock	DrawingRewards	AdventureDiff	AdventureHero
int	LocalStr	LocalStr	int	string	int	int[]	BuffExcelList	bool	bool	string	int	int	float	float	string	string	int	float	float	int	int	DropArray	int	int[]
ID																								
30001	ITEM_ACID		3	acid_icon	2		201,8#207,-4	0			65	0	0.2				0			0	0	60001,5	0	
30002	ITEM_ALIEN_BABY		3	alien_baby_icon	3		201,15#2001,8	0			80	0	0.2				0			0	0	60001,5	0	
30003	ITEM_ALIEN_EYES	DAMAGE_DEALT	3	alien_eyes_icon	2	3017	2002,6,1,0,201,50,3	0			50	0	0.2				0			0	0	60001,5	0	
30004	ITEM_ALIEN_MAGIC		3	alien_magic_icon	3		201,8#205,3#217,-8	0			85	0	0.2				0			0	0	60001,5	0	
30005	ITEM_ALIEN_TONGUE		3	alien_tongue_icon	1		1003,30	0			25	0	0.2				0			0	0	60001,5	0	
30006	ITEM_ALIEN_WORM		3	alien_worm_icon	1		201,3#205,2#2004,-1	0			15	0	0.2				0			0	0	60001,5	0	
30007	ITEM_ALLOY		3	alloy_icon	3		210,3#212,3#218,3#213,5#207,-6	0			80	0	0.2				0			0	0	60001,5	0	
30008	ITEM_ANVIL	STATS_GAINED	3	anvil_icon	4		2005,1,2,208	1			120	0	0.2				0			0	56	60001,5	0	
30009	ITEM_BABY_ELEPHANT	DAMAGE_DEALT	3	baby_elephant_icon	1		2006,3020,25,0,217,25	0			25	0	0.2				0			0	0	60001,5	0	
30010	ITEM_BABY_GECKO		3	baby_gecko_icon	1		2007,20#216,10	0			18	0	0.2				0			0	0	60001,5	0	
30011	ITEM_BABY_WITH_A_BEARD	DAMAGE_DEALT	3	baby_with_a_beard_icon	3		2008,3018,100,1,212,100#216,-50	0			100	0	0.2				0			0	0	60001,5	0	
30012	ITEM_BAG	MATERIALS_GAINED	3	bag_icon	1		2009,15#204,-1	0			15	0	0.2				0			0	0	60001,5	0	
30013	ITEM_BANDANA		3	bandana_icon	3		2063,1#200,-10	0			75	0	0.2				0			0	0	60001,5	0	
30014	ITEM_BANNER		3	banner_icon	2		216,20#215,10#206,-2	0			55	0	0.2				0			0	0	60001,5	0	
30015	ITEM_BARRICADE		3	barricade_icon	3		2042,208,8#204,-5	0			75	0	0.2				0			0	0	60001,5	0	
30016	ITEM_BAT		3	bat_icon	1		206,2#219,-2	0			20	0	0.2				0			0	0	60001,5	0	
30017	ITEM_BEAN_TEACHER		3	bean_teacher_icon	3		2010,40#206,-2	0			70	0	0.2				0			0	0	60001,5	0	
30018	ITEM_BEANIE		3	beanie_icon	1		204,4#216,-6	0			20	0	0.2				0			0	0	60001,5	0	
30019	ITEM_BIG_ARMS		3	big_arms_icon	4		210,12#212,6#208,-1#204,-5	0			105	0	0.2				0			0	39	60001,5	0	
30020	ITEM_BLACK_BELT		3	black_belt_icon	2		2010,25#210,3#217,-8	0			50	0	0.2				0			0	0	60001,5	0	
30021	ITEM_BLINDFOLD		3	blindfold_icon	2		213,5#207,5#216,-15	0			45	0	0.2				0			0	0	60001,5	0	
30022	ITEM_BLOOD_DONATION		3	blood_donation_icon	3		219,40#2012,-1	0			50	0	0.2				0			0	0	60001,5	0	
30023	ITEM_BLOOD_LEECH		3	blood_leech_icon	2		206,2#205,2#219,-4	0			45	0	0.2				0			0	0	60001,5	0	
