ID	spawnChance	spawnTiming	repeating	repeatInterval	reduceRepeatInterval	minRepeatInterval	area	spawnDist	spawnEdge	monsterId	monsterMin	monsterMax	monsterChance	isNeutral	type	isHorde	minDifficulty	minWave	maxWave	endless
int	float	int	int	int	int	int	int	int	bool	int	int	int	float	bool	int	bool	int	int	int	bool
等级																				
101	1	1	999	3	0	1	-1	0	0	40501	4	5	1	0	0	0	0	0	99	0
201	1	1	999	3	0	1	-1	0	0	40502	3	4	1	0	0	0	0	0	99	0
202	1	10	999	5	0	1	-1	0	1	40501	4	5	1	0	0	0	0	0	99	0
301	1	1	999	3	0	1	-1	0	1	40501	5	6	1	0	0	0	0	0	99	0
302	1	10	999	7	1	3	200	0	0	40502	3	4	1	0	0	0	0	0	99	0
303	1	15	-1	3	0	1	100	0	0	40504	2	2	1	0	0	0	1	0	99	0
304	1	10	999	5	0	1	-1	0	0	40504	2	2	1	0	0	0	5	0	99	0
401	1	1	999	5	0	1	-1	0	0	40503	2	2	1	0	0	0	0	0	99	0
402	1	4	999	3	0	1	300	0	0	40501	6	7	1	0	0	0	0	0	99	0
403	1	25	999	7	0	1	-1	0	0	40503	2	2	1	0	0	0	0	0	99	0
404	1	15	-1	3	0	1	-1	0	0	40508	2	2	1	0	0	0	1	0	99	0
405	1	3	999	5	1	3	-1	0	0	40514	2	2	1	0	0	0	5	0	99	0
501	1	1	999	4	0	4	-1	0	1	40501	8	8	1	0	0	0	0	0	99	0
502	1	3	999	5	1	2	200	0	0	40502	3	4	1	0	0	0	0	0	99	0
503	1	25	999	6	0	1	200	0	0	40503	1	2	1	0	0	0	0	0	99	0
504	1	15	999	4	0	1	-1	0	1	40504	2	2	1	0	0	0	1	0	99	0
505	1	7	999	8	0	1	200	0	0	40502	1	2	1	0	0	0	2	0	99	0
506	1	15	999	8	0	1	-1	0	0	40519	1	1	1	0	0	0	4	0	99	0
601	1	1	999	5	1	3	-1	0	1	40504	4	5	1	0	0	0	0	0	99	0
602	1	3	999	3	1	2	200	0	0	40502	3	4	1	0	0	0	0	0	99	0
603	1	25	999	5	1	2	200	0	0	40501	5	6	1	0	0	0	0	0	99	0
604	1	15	999	5	0	5	-1	0	1	40508	2	3	1	0	0	0	1	0	99	0
605	1	10	999	8	0	1	-1	0	1	40519	1	1	1	0	0	0	5	0	99	0
701	1	1	999	2	0	1	-1	0	1	40501	6	7	1	0	0	0	0	0	99	0
702	1	10	999	5	0	1	200	0	0	40504	6	6	1	0	0	0	0	0	99	0
703	1	30	999	5	0	1	200	0	0	40503	2	3	1	0	0	0	0	0	99	0
704	1	1	999	15	0	1	-1	0	0	40512	1	1	1	0	0	0	1	0	99	0
